gene	shadow_evidence_score	genetics_gate	cellstate_gate	ms_expression_trend	perturbation_trend	reachable_annotation	strong_l2g_disease_count	strong_l2g_diseases	strong_qtl_coloc_disease_count	strong_qtl_coloc_diseases	ms_max_l2g_score	ms_max_qtl_h4	c15_trend_positive_disease_count	c15_strict_positive_context_count	c15_myeloid_positive_context_count	positive_c15_contexts	best_c15_context	ms_delta_log2	ms_p	w37_contrast_lfc	w37_contrast_fdr	chembl_target_id	druggable_activity_count	wave82_evidence_channel_count	wave82_call	label_class_annotation	prior_annotation	data_gap_annotation
CD40	8.9	False	True	False	False	True	1.0	RA	6.0	Celiac;Crohn;PBC;Psoriasis;RA;T1D	0.0	0.0	3.0	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell;t1d_acinar_cell;t1d_endothelial_cell	ibd_crohn_myeloid	-0.5445775168848961	0.0540269612921963	0.2247298171610834	1.0	CHEMBL1250358	0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | prior_art_costimulation_axis | insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker | prior_art_costimulation_axis  NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker	missing_genetics,ms_expression,perturbation
CD274	8.7	False	True	False	False	False	1.0	UC	8.0	AS;Celiac;Crohn;Psoriasis;RA;SLE;T1D;UC	0.0	0.0	3.0	2.0	3.0	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc	sjogren_gland_apc	0.3544765521359103	0.3282160655447695	0.3307475199272691	0.9965506589785832		0.0	0.0		local_no_go_label	NO_GO_WAVE62_TARGET_RESOLUTION |   NO_GO_WAVE62_TARGET_RESOLUTION   	missing_genetics,ms_expression,perturbation,reachability
PUS10	8.600000000000001	True	False	False	True	False	3.0	Celiac;Crohn;UC	4.0	MS;Psoriasis;RA;UC	0.0816564038395881	0.9852343045238628	1.0	1.0	0.0	t1d_ductal_cell;t1d_endothelial_cell	t1d_ductal_cell	-0.1800350557802215	0.5667268975128495	0.3625299675252513	0.920009505703422		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_cell_state,ms_expression,reachability
TAGAP	8.400000000000002	True	False	False	False	False	6.0	Celiac;Crohn;MS;Psoriasis;RA;T1D	3.0	Celiac;Crohn;MS	0.8897240161895752	0.9951413234333548	1.0	1.0	1.0	ibd_crohn_myeloid	ibd_crohn_myeloid	0.4550322625700271	0.2565170635340987	0.2809824254741528	1.0		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_cell_state,ms_expression,perturbation,reachability
INAVA	8.4	True	False	False	False	False	4.0	AS;Crohn;MS;UC	5.0	AS;Crohn;MS;PBC;UC	0.6894342303276062	0.9828462411264802	1.0	1.0	0.0	t1d_stellate_cell	t1d_stellate_cell	0.0	1.0	0.0	1.0		0.0	0.0		prior_art_or_local_prior	PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW | insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker |   PARK_TARGET_RESOLVED_BUT_BLOCKED_OR_NARROW   insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_cell_state,ms_expression,perturbation,reachability
MTF1	8.2	False	True	True	True	False	0.0		0.0		0.0	0.0	3.0	4.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell;t1d_endothelial_cell	ibd_crohn_myeloid	0.2966006148315276	0.1717854355945038	-0.3026014910952622	0.920009505703422		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_genetics,reachability
PDCD1	8.2	True	False	False	True	False	0.0		8.0	AITD;Celiac;Crohn;MS;RA;SLE;T1D;UC	0.0	0.9587479572161116	0.0	0.0	0.0			0.2453014249639151	0.7348352763063892	-0.92680645214109	0.920009505703422		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | checkpoint_axis_safety_prior_art | insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker | checkpoint_axis_safety_prior_art  NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_cell_state,ms_expression,reachability
STARD5	8.2	False	True	True	True	False	0.0		0.0		0.0	0.0	3.0	4.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell;t1d_stellate_cell;t1d_endothelial_cell	t1d_endothelial_cell	0.3405236664023316	0.2090343477941671	0.4749259401880717	0.920009505703422		0.0	0.0		unlabeled_or_data_blocked	     	missing_genetics,reachability
TNFSF8	8.0	False	True	True	True	False	1.0	Crohn	2.0	Crohn;T1D	0.0	0.0	2.0	1.0	2.0	ibd_uc_myeloid;sjogren_gland_apc	ibd_uc_myeloid	0.8039267056711275	0.001895042299606	-0.3522224105473446	0.920009505703422		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_genetics,reachability
IRF4	8.0	False	True	False	True	False	5.0	Celiac;Psoriasis;RA;SLE;T1D	1.0	SLE	0.0	0.0	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_uc_myeloid	0.0444471151552097	0.910671703211036	0.2885985298055133	0.920009505703422		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_genetics,ms_expression,reachability
CLEC16A	8.0	True	False	False	False	False	6.0	Crohn;MS;PBC;Psoriasis;SLE;T1D	4.0	Crohn;MS;SLE;T1D	0.6525351405143738	0.8537723929482786	0.0	0.0	0.0			0.1097171053941039	0.5873801680223918	0.0375161123813479	1.0		0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | prior_branch_blocker_or_directionality_unresolved | insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker |  prior_branch_blocker_or_directionality_unresolved NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cell_state_support;no_direct_druggable_modality;prior_or_local_no_go_blocker	missing_cell_state,ms_expression,perturbation,reachability
CCL5	7.9	False	True	True	True	False	0.0		0.0		0.0	0.0	3.0	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_stellate_cell	ibd_uc_myeloid	0.8977913127137871	0.0742701356599357	-0.6540166090680801	0.920009505703422		0.0	0.0		unlabeled_or_data_blocked	     	missing_genetics,reachability
STAT3	7.8999999999999995	False	True	False	True	True	2.0	Crohn;UC	2.0	Crohn;UC	0.0	0.0	2.0	2.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid	ibd_crohn_myeloid	-0.0052452399033047	0.9827297093959808	-0.486572487053398	0.920009505703422	CHEMBL4296101	0.0	0.0		prior_art_or_local_prior	NO_GO_WAVE62_TARGET_RESOLUTION | insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker |   NO_GO_WAVE62_TARGET_RESOLUTION   insufficient_cross_disease_ms_genetic_anchor;prior_or_local_no_go_blocker	missing_genetics,ms_expression
IL23A	7.800000000000001	False	True	True	False	False	0.0		1.0	Psoriasis	0.0	0.0	4.0	3.0	3.0	ibd_crohn_myeloid;ibd_uc_myeloid;sjogren_gland_apc;t1d_stellate_cell	ibd_uc_myeloid	0.6573316951945598	0.0916123649390088	-0.2286980690235188	0.9971256078463696		0.0	0.0		local_no_go_label	NO_GO_WAVE62_TARGET_RESOLUTION |   NO_GO_WAVE62_TARGET_RESOLUTION   	missing_genetics,perturbation,reachability
CCL20	7.700000000000001	False	True	True	False	False	1.0	UC	1.0	UC	0.0	0.0	3.0	3.0	2.0	ibd_crohn_myeloid;ibd_uc_myeloid;t1d_ductal_cell;t1d_acinar_cell;t1d_endothelial_cell	ibd_uc_myeloid	1.1469018183892334	0.0611072952242856	0.0728829969806544	0.9971256078463696		0.0	0.0		local_no_go_label	NO_GO_WAVE62_TARGET_RESOLUTION |   NO_GO_WAVE62_TARGET_RESOLUTION   	missing_genetics,perturbation,reachability
